time us,current kA
0.743,86.62575
0.744,88.293
0.745,89.4045
0.746,88.0935
0.747,87.951
0.748,84.74475
0.749,85.85625
0.75,82.4505
0.751,83.847
0.752,83.3625
0.753,83.14875
0.754,83.3625
0.755,84.9585
0.756,85.3005
0.757,88.99125
0.758,90.459
0.759,89.13375
0.76,89.6895
0.761,89.61825
0.762,88.0935
0.763,85.22925
0.764,86.28375
0.765,82.86375
0.766,84.3315
0.767,83.847
0.768,83.63325
0.769,86.07
0.77,84.6735
0.771,86.91075
0.772,89.832
0.773,89.0625
0.774,90.174
0.775,90.459
0.776,90.459
0.777,90.174
0.778,89.6895
0.779,86.91075
0.78,88.578
0.781,88.02225
0.782,87.73725
0.783,87.73725
0.784,88.02225
0.785,90.72975
0.786,89.0625
0.787,89.61825
0.788,89.96025
0.789,89.96025
0.79,89.96025
0.791,89.96025
0.792,89.96025
0.793,89.96025
0.794,89.96025
0.795,89.96025
0.796,89.96025
0.797,89.96025
0.798,89.96025
0.799,89.96025
0.8,89.96025
0.801,90.174
0.802,92.95275
0.803,91.2855
0.804,91.84125
0.805,92.1975
0.806,92.1975
0.807,92.1975
0.808,92.1975
0.809,92.1975
0.81,91.84125
0.811,89.0625
0.812,90.72975
0.813,90.174
0.814,89.96025
0.815,89.96025
0.816,89.96025
0.817,90.174
0.818,92.95275
0.819,91.2855
0.82,92.12625
0.821,92.95275
0.822,95.6745
0.823,94.00725
0.824,94.278
0.825,94.278
0.826,94.0785
0.827,91.2855
0.828,92.95275
0.829,92.46825
0.83,92.1975
0.831,92.46825
0.832,95.19
0.833,93.72225
0.834,97.128
0.835,95.74575
0.836,96.37275
0.837,96.71475
0.838,96.37275
0.839,93.52275
0.84,94.905
0.841,91.49925
0.842,92.95275
0.843,92.46825
0.844,92.1975
0.845,92.1975
0.846,92.1975
0.847,92.46825
0.848,95.60325
0.849,96.71475
0.85,97.62675
0.851,96.786
0.852,97.62675
0.853,100.04925
0.854,97.071
0.855,94.278
0.856,95.31825
0.857,94.563
0.858,94.278
0.859,94.278
0.86,94.278
0.861,94.563
0.862,97.34175
0.863,95.74575
0.864,96.57225
0.865,98.11125
0.866,98.04
0.867,98.59575
0.868,98.73825
0.869,95.94525
0.87,97.62675
0.871,97.071
0.872,96.71475
0.873,96.71475
0.874,96.71475
0.875,96.71475
0.876,96.9285
0.877,98.11125
0.878,98.04
0.879,98.8095
0.88,101.93025
0.881,100.33425
0.882,100.548
0.883,98.11125
0.884,99.70725
0.885,98.8095
0.886,95.817
0.887,95.88825
0.888,96.9285
0.889,96.71475
0.89,96.71475
0.891,97.071
0.892,99.84975
0.893,98.1825
0.894,99.009
0.895,102.07275
0.896,101.93025
0.897,100.96125
0.898,101.232
0.899,100.96125
0.9,99.70725
0.901,99.84975
0.902,99.22275
0.903,98.93775
0.904,98.93775
0.905,98.93775
0.906,99.22275
0.907,102.07275
0.908,100.67625
0.909,104.025
0.91,104.09625
0.911,103.2555
0.912,103.5405
0.913,103.5405
0.914,103.2555
0.915,100.47675
0.916,101.802
0.917,100.89
0.918,97.96875
0.919,99.636
0.92,99.4365
0.921,99.4365
0.922,101.93025
0.923,100.61925
0.924,104.29575
0.925,105.54975
0.926,104.29575
0.927,105.279
0.928,106.533
0.929,102.429
0.93,104.09625
0.931,100.67625
0.932,102.07275
0.933,101.517
0.934,101.232
0.935,101.232
0.936,101.44575
0.937,102.771
0.938,102.98475
0.939,106.31925
0.94,106.533
0.941,105.4785
0.942,105.7635
0.943,105.4785
0.944,104.29575
0.945,104.09625
0.946,100.7475
0.947,100.548
0.948,101.44575
0.949,101.517
0.95,104.29575
0.951,102.69975
0.952,103.61175
0.953,106.59
0.954,105.279
0.955,108.6135
0.956,108.82725
0.957,107.502
0.958,106.59
0.959,105.06525
0.96,106.03425
0.961,105.4785
0.962,104.29575
0.963,104.367
0.964,104.1675
0.965,106.59
0.966,106.533
0.967,105.4785
0.968,105.7635
0.969,105.7635
0.97,106.03425
0.971,107.28825
0.972,108.82725
0.973,104.72325
0.974,106.66125
0.975,106.03425
0.976,105.7635
0.977,105.7635
0.978,105.7635
0.979,105.7635
0.98,105.7635
0.981,106.03425
0.982,108.8985
0.983,107.217
0.984,107.844
0.985,108.129
0.986,108.129
0.987,108.129
0.988,108.129
0.989,108.129
0.99,107.844
0.991,107.57325
0.992,107.28825
0.993,107.0175
0.994,107.28825
0.995,107.57325
0.996,107.844
0.997,108.129
0.998,108.471
0.999,113.27325
1,107.08875
1,111.948
1,109.31175
1,110.28075
1,110.56575
1.01,110.56575
1.01,110.56575
1.01,112.518
1.01,107.08875
1.01,107.502
1.01,108.471
1.01,108.129
1.01,108.471
1.01,111.948
1.01,109.31175
